Release Date,Title,Genre,With,Runtime,Link,Distributor,Scale
"July 3, 2026",Swallowtail & Dragonfly,Drama,"Vanessa Yao, Vivian Dawson, Russell Wong, Richard Ouyang",N/A,https://pro.imdb.com/title/tt28512342?ref_=mojo_rs_table_43&rf=mojo_rs_table_43,Indican Pictures,Limited
"July 3, 2026",Mary Oliver: Saved by the Beauty of the World,Documentary,"Steve Buscemi, Stephen Colbert, Lucy Dacus, John Waters",N/A,https://pro.imdb.com/title/tt39643966?ref_=mojo_rs_table_44&rf=mojo_rs_table_44,Kino Lorber,Limited
"July 3, 2026",Young Washington,"Action
    
        Biography
    
        Drama
    
        History
    
        War","Mary-Louise Parker, Andy Serkis, Ben Kingsley, Kelsey Grammer",N/A,https://pro.imdb.com/title/tt32104007?ref_=mojo_rs_table_45&rf=mojo_rs_table_45,Angel Films,Limited
"July 3, 2026",Thrash,"Horror
    
        Thriller","Phoebe Dynevor, Whitney Peak, Djimon Hounsou, Alyla Browne",N/A,https://pro.imdb.com/title/tt32362890?ref_=mojo_rs_table_46&rf=mojo_rs_table_46,Sony Pictures Releasing,Wide
"July 3, 2026",Lockbox,Horror,"Carla Gugino, Katharine Isabelle, Lou Taylor Pucci, Donald Sales",N/A,https://pro.imdb.com/title/tt37369064?ref_=mojo_rs_table_47&rf=mojo_rs_table_47,-,Limited
"July 5, 2026",Citizen Kane,"Drama
    
        Mystery","Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",N/A,https://pro.imdb.com/title/tt0033467?ref_=mojo_rs_table_48&rf=mojo_rs_table_48,-,Limited
"July 10, 2026",Reading Lolita in Tehran,"Biography
    
        Drama","Golshifteh Farahani, Zar Amir Ebrahimi, Mina Kavani, Reza Diako",N/A,https://pro.imdb.com/title/tt27679443?ref_=mojo_rs_table_49&rf=mojo_rs_table_49,N/A,Limited
"July 10, 2026",Gail Daughtry and the Celebrity Sex Pass,Comedy,"Kerri Kenney, Jon Hamm, Zoey Deutch, Thomas Lennon",N/A,https://pro.imdb.com/title/tt36834010?ref_=mojo_rs_table_50&rf=mojo_rs_table_50,Sony Pictures Classics,Limited
"July 10, 2026",Untitled Disney,N/A,N/A,N/A,https://pro.imdb.com/title/tt26443622?ref_=mojo_rs_table_51&rf=mojo_rs_table_51,Walt Disney Studios Motion Pictures,Limited
"July 10, 2026",Evil Dead Burn,"Fantasy
    
        Horror
    
        Mystery","Luciane Buchanan, Hunter Doohan, Souheila Yacoub, Tandi Wright",N/A,https://pro.imdb.com/title/tt31170389?ref_=mojo_rs_table_52&rf=mojo_rs_table_52,Warner Bros.,Wide
"July 10, 2026",Moana,"Action
    
        Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","Catherine Laga'aia, Dwayne Johnson, John Tui, Frankie Adams",N/A,https://pro.imdb.com/title/tt27419466?ref_=mojo_rs_table_53&rf=mojo_rs_table_53,Walt Disney Studios Motion Pictures,Wide
"July 10, 2026",The Isolate Thief,"Action
    
        Drama
    
        Western","Sean Bean, Joe Pantoliano, Mackenzie Foy, Odeya Rush",N/A,https://pro.imdb.com/title/tt35051162?ref_=mojo_rs_table_54&rf=mojo_rs_table_54,Radial Entertainment,Limited
"July 11, 2026",My Neighbor Totoro,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",N/A,https://pro.imdb.com/title/tt0096283?ref_=mojo_rs_table_55&rf=mojo_rs_table_55,Fathom Events,Limited
